Shaula,85927,Star,,702.6,,1.63,17.5601,-37.1039, Sco, 35Lambda 
Bellatrix,25336,Star,,242.9,,1.64,5.4189,6.3497, Ori, 24Gama
El Nath,25428,Star,,131,,1.65,5.4382,28.6075, Tau, 112Beta 
Miaplacidus,45238,Star,,111.1,,1.68,9.22,-69.7172, Car, Beta 
Alnilan,26311,Star,,1341.6,,1.7,5.6036,-1.2019, Ori, 46Epsilon 
Al Na'ir,109268,Star,,101.4,,1.74,22.1372,-46.9611, Gru, Alpha 
Alioth,62956,Star,,80.9,,1.77,12.9005,55.9597, UMa, 77Epsilon 
Gama Vel,39953,Star,,840.2,,1.78,8.1589,-47.3367, Vel, Gama2
Mirfak,15863,Star,,591.7,,1.79,3.4054,49.8611, Per, 33Alpha 
Dubhe,54061,Star,,123.6,,1.79,11.0621,61.7508, UMa, 50Alpha 
Wezen,34444,Star,,1791.2,,1.84,7.1399,-26.3933, CMa, 25Delta 
Kaus Australis,90185,Star,,144.6,,1.85,18.4029,-34.3847, Sgr, 20Epsilon 
Avior,41037,Star,,631.8,,1.86,8.3752,-59.5097, Car, Epsilon 
Alkaid,67301,Star,,100.6,,1.86,13.7923,49.3133, UMa, 85Eta 
Sargas,86228,Star,,271.9,,1.87,17.622,-42.9978, Sco, Theta 
Menkaliman,28360,Star,,82.1,,1.9,5.9921,44.9475, Aur, 34Beta 
Atria,82273,Star,,415.3,,1.92,16.8111,-69.0278, TrA, Alpha 
Alhena,31681,Star,,104.8,,1.93,6.6285,16.3992, Gem, 24Gama 
Peacock,100751,Star,,183.1,,1.94,20.4275,-56.735, Pav, Alpha 
Delta Vel,42913,Star,,79.7,,1.96,8.7451,-54.7083, Vel, Delta 
Mirzam,30324,Star,,499.2,,1.98,6.3783,-17.9558, CMa, 2Beta 
Castor,36850,Star,,51.5,,1.98,7.5767,31.8883, Gem, 66Alpha 
Alphard,46390,Star,,177.2,,1.98,9.4598,-8.6586, Hya, 30Alpha 
Hamal,9884,Star,,65.9,,2,2.1196,23.4625, Ari, 13Alpha 
Polaris,11767,Star,,431.2,,2.02,2.5302,89.2642, UMi, 1Alpha 
Nunki,92855,Star,,224.2,,2.02,18.9211,-26.2967, Sgr, 34Sigma 
Deneb Kaitos,3419,Star,,95.8,,2.04,0.7264,52.9867, Cet, 16Beta 
